17-05-2023 23:55:58 $ Using device='cuda'
17-05-2023 23:55:59 $ Experiment 1/6
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=ZCA2, num_unfrozen_layers=1, ind. loss=NegApproxLoss1, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=50
17-05-2023 23:56:39 $ loss = 4.19, ranking_loss = 1.91, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 2.05, accuracy = 0.59
17-05-2023 23:58:56 $ loss = 3.62, ranking_loss = 1.74, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.66, accuracy = 0.77
18-05-2023 00:02:42 $ loss = 3.28, ranking_loss = 1.68, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.38, accuracy = 0.79
18-05-2023 00:06:37 $ loss = 3.04, ranking_loss = 1.65, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.16, accuracy = 0.79
18-05-2023 00:10:23 $ loss = 2.85, ranking_loss = 1.63, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 1.00, accuracy = 0.80
18-05-2023 00:13:59 $ loss = 2.69, ranking_loss = 1.60, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.87, accuracy = 0.81
18-05-2023 00:17:42 $ loss = 2.60, ranking_loss = 1.59, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.78, accuracy = 0.81
18-05-2023 00:21:28 $ loss = 2.52, ranking_loss = 1.58, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.71, accuracy = 0.82
18-05-2023 00:25:17 $ loss = 2.45, ranking_loss = 1.57, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.67, accuracy = 0.82
18-05-2023 00:29:08 $ loss = 2.39, ranking_loss = 1.55, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.62, accuracy = 0.83
18-05-2023 00:33:03 $ loss = 2.36, ranking_loss = 1.55, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.60, accuracy = 0.83
18-05-2023 00:37:01 $ loss = 2.33, ranking_loss = 1.53, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.57, accuracy = 0.83
18-05-2023 00:40:54 $ loss = 2.30, ranking_loss = 1.52, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.55, accuracy = 0.84
18-05-2023 00:44:52 $ loss = 2.28, ranking_loss = 1.52, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.54, accuracy = 0.84
18-05-2023 00:48:52 $ loss = 2.26, ranking_loss = 1.51, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.53, accuracy = 0.84
18-05-2023 00:52:50 $ loss = 2.23, ranking_loss = 1.50, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.51, accuracy = 0.85
18-05-2023 00:56:42 $ loss = 2.21, ranking_loss = 1.49, regularization_loss = 0.00, independence_loss = 0.22, classification_loss = 0.50, accuracy = 0.85
