06-05-2023 12:26:30 $ Using device='cuda'
06-05-2023 12:26:30 $ Experiment 1/2
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=None, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=15
06-05-2023 12:28:29 $ loss = 2.53, ranking_loss = 0.27, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 2.26, accuracy = 0.66
06-05-2023 12:35:36 $ loss = 2.27, ranking_loss = 0.33, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 1.94, accuracy = 0.93
06-05-2023 12:43:00 $ loss = 1.91, ranking_loss = 0.33, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 1.58, accuracy = 0.96
06-05-2023 12:50:26 $ loss = 1.57, ranking_loss = 0.28, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 1.29, accuracy = 0.97
06-05-2023 12:57:55 $ loss = 1.28, ranking_loss = 0.24, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 1.04, accuracy = 0.98
06-05-2023 13:05:25 $ loss = 1.01, ranking_loss = 0.19, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.82, accuracy = 0.99
06-05-2023 13:12:50 $ loss = 0.79, ranking_loss = 0.16, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.63, accuracy = 0.99
06-05-2023 13:20:19 $ loss = 0.62, ranking_loss = 0.14, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.48, accuracy = 0.99
06-05-2023 13:27:41 $ loss = 0.47, ranking_loss = 0.11, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.36, accuracy = 0.99
06-05-2023 13:35:03 $ loss = 0.37, ranking_loss = 0.10, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.27, accuracy = 0.99
06-05-2023 13:42:25 $ loss = 0.27, ranking_loss = 0.08, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.20, accuracy = 1.00
06-05-2023 13:49:46 $ loss = 0.22, ranking_loss = 0.07, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.15, accuracy = 1.00
06-05-2023 13:57:09 $ loss = 0.17, ranking_loss = 0.06, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.11, accuracy = 1.00
06-05-2023 14:04:32 $ loss = 0.14, ranking_loss = 0.06, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.08, accuracy = 1.00
06-05-2023 14:11:52 $ loss = 0.11, ranking_loss = 0.05, regularization_loss = 0.00, independence_loss = 0.00, classification_loss = 0.06, accuracy = 1.00
06-05-2023 14:13:33 $ Experiment 2/2
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=NegApproxLoss1, reg. loss=None, class. loss=Enable, batch=10/40, margin=0.2, num_epochs_in_step=1, num_epoch_steps=15
06-05-2023 14:19:14 $ loss = 9.91, ranking_loss = 0.25, regularization_loss = 0.00, independence_loss = 7.37, classification_loss = 2.30, accuracy = 0.14
06-05-2023 14:26:37 $ loss = 9.76, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.25, classification_loss = 2.30, accuracy = 0.16
06-05-2023 14:34:09 $ loss = 9.69, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.19, classification_loss = 2.30, accuracy = 0.27
06-05-2023 14:41:32 $ loss = 9.66, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.16, classification_loss = 2.30, accuracy = 0.42
06-05-2023 14:48:53 $ loss = 9.65, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.14, classification_loss = 2.30, accuracy = 0.40
06-05-2023 14:56:15 $ loss = 9.64, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.13, classification_loss = 2.30, accuracy = 0.44
06-05-2023 15:03:38 $ loss = 9.62, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.12, classification_loss = 2.30, accuracy = 0.43
06-05-2023 15:11:00 $ loss = 9.62, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.11, classification_loss = 2.30, accuracy = 0.49
06-05-2023 15:18:24 $ loss = 9.61, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.11, classification_loss = 2.30, accuracy = 0.57
06-05-2023 15:25:49 $ loss = 9.61, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.11, classification_loss = 2.30, accuracy = 0.53
06-05-2023 15:33:10 $ loss = 9.61, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.10, classification_loss = 2.30, accuracy = 0.48
06-05-2023 15:40:33 $ loss = 9.60, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.10, classification_loss = 2.30, accuracy = 0.35
06-05-2023 15:47:54 $ loss = 9.60, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.10, classification_loss = 2.30, accuracy = 0.46
06-05-2023 15:55:15 $ loss = 9.60, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.10, classification_loss = 2.30, accuracy = 0.47
06-05-2023 16:02:35 $ loss = 9.60, ranking_loss = 0.20, regularization_loss = 0.00, independence_loss = 7.09, classification_loss = 2.30, accuracy = 0.50
