20-05-2023 11:37:59 $ Using device='cuda'
20-05-2023 11:37:59 $ Experiment 1/2
Model with configuration: dataset=CIFAR10, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=None, reg. loss=L1, class. loss=Enable, batch=10/10, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 11:40:10 $ loss = 1.91, ranking_loss = 0.26, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.62, accuracy = 0.87
20-05-2023 11:43:56 $ loss = 0.79, ranking_loss = 0.16, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.61, accuracy = 0.96
20-05-2023 11:47:44 $ loss = 0.38, ranking_loss = 0.10, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.25, accuracy = 0.98
20-05-2023 11:51:32 $ loss = 0.23, ranking_loss = 0.08, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.13, accuracy = 0.98
20-05-2023 11:55:20 $ loss = 0.16, ranking_loss = 0.06, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.08, accuracy = 0.98
20-05-2023 11:59:08 $ loss = 0.13, ranking_loss = 0.05, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.06, accuracy = 0.99
20-05-2023 12:02:57 $ loss = 0.11, ranking_loss = 0.04, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.05, accuracy = 0.99
20-05-2023 12:06:46 $ loss = 0.09, ranking_loss = 0.03, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.04, accuracy = 0.99
20-05-2023 12:10:37 $ loss = 0.09, ranking_loss = 0.03, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.04, accuracy = 0.99
20-05-2023 12:14:26 $ loss = 0.08, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.04, accuracy = 0.99
20-05-2023 12:18:16 $ loss = 0.07, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:22:08 $ loss = 0.07, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:25:58 $ loss = 0.07, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:29:49 $ loss = 0.07, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:33:40 $ loss = 0.06, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:37:30 $ loss = 0.06, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:41:21 $ loss = 0.06, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:45:13 $ loss = 0.06, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:49:05 $ loss = 0.06, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.03, accuracy = 0.99
20-05-2023 12:52:57 $ loss = 0.05, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.02, accuracy = 1.00
20-05-2023 12:54:37 $ Experiment 2/2
Model with configuration: dataset=Oxford5k, model=ResNet18, embedding_dim=1024, whitening=Disable, num_unfrozen_layers=All, ind. loss=None, reg. loss=L1, class. loss=Enable, batch=10/10, margin=0.2, num_epochs_in_step=1, num_epoch_steps=20
20-05-2023 12:56:17 $ loss = 2.58, ranking_loss = 0.13, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 2.43, accuracy = 0.52
20-05-2023 12:59:40 $ loss = 2.29, ranking_loss = 0.04, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 2.23, accuracy = 0.98
20-05-2023 13:02:59 $ loss = 2.12, ranking_loss = 0.03, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 2.07, accuracy = 0.99
20-05-2023 13:06:19 $ loss = 1.99, ranking_loss = 0.02, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.95, accuracy = 0.99
20-05-2023 13:09:40 $ loss = 1.88, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.85, accuracy = 1.00
20-05-2023 13:12:59 $ loss = 1.78, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.76, accuracy = 1.00
20-05-2023 13:16:19 $ loss = 1.69, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.67, accuracy = 1.00
20-05-2023 13:19:40 $ loss = 1.60, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.58, accuracy = 1.00
20-05-2023 13:23:00 $ loss = 1.52, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.49, accuracy = 1.00
20-05-2023 13:26:19 $ loss = 1.43, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.40, accuracy = 1.00
20-05-2023 13:29:37 $ loss = 1.34, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.32, accuracy = 1.00
20-05-2023 13:32:58 $ loss = 1.26, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.24, accuracy = 1.00
20-05-2023 13:36:17 $ loss = 1.18, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.16, accuracy = 1.00
20-05-2023 13:39:38 $ loss = 1.10, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.08, accuracy = 1.00
20-05-2023 13:42:58 $ loss = 1.02, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 1.00, accuracy = 1.00
20-05-2023 13:46:18 $ loss = 0.95, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.93, accuracy = 1.00
20-05-2023 13:49:38 $ loss = 0.89, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.86, accuracy = 1.00
20-05-2023 13:52:56 $ loss = 0.82, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.80, accuracy = 1.00
20-05-2023 13:56:15 $ loss = 0.77, ranking_loss = 0.01, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.74, accuracy = 1.00
20-05-2023 13:59:34 $ loss = 0.70, ranking_loss = 0.00, regularization_loss = 0.02, independence_loss = 0.00, classification_loss = 0.68, accuracy = 1.00
